FIELD,Species,Sex,SexualMode,STATE,COUNTY,CITY,LOCAL,LAT,LONG,Order,DateRan,Endurance,Log.Endurance,MitoDate,DisLength,MitoMuscleMass,TotalMuscleMass,TotalMass,SVL,CI_State3,CI_State4,CI_RCR,CII_State3,CII_State4,CII_RCR,EuthanasiaHour,EuthanasiaTime
RLK200,inornatus,F,sex,TX,Hudspeth,Indio Mountains Research Station,Bailey Evans,30.777342,-105.016564,7,B,4.03,0.605305046,D,12,0.2145,0.2145,3.6,5.1,21.14,3.83,5.516701461,18.84,8.19,2.299804688,10.43,10:26
RLK191,marmoratus,F,sex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.1781,-102.9974,5,A,6.55,0.8162413,C,12,0.6622,0.6622,12.1,7.8,22.85,4.8,4.75942512,19.74,6.36,3.105726872,8.57,8:34
RLK208,neomexicanus,F,asex,TX,Do_a Ana,Las Cruces,Mesilla Valley State Park,32.24994,-106.82133,9,A,2.5,0.397940009,C,12,0.1941,0.1941,4,5.7,15.49,5.82,2.663342503,15.54,8.73,1.780272654,13.33,13:20
RLK212,neomexicanus,F,asex,TX,Do_a Ana,Las Cruces,Mesilla Valley State Park,32.24704,-106.82327,4,A,3.133,0.495960395,A,10,0.345,0.345,7.7,6.9,20.93,6.35,3.296582139,20.26,9.53,2.126810834,13.53,13:32
RLK213,neomexicanus,F,asex,TX,Do_a Ana,Las Cruces,Mesilla Valley State Park,32.24631,-106.82299,3,A,3.833,0.583538819,B,14,0.3046,0.3046,6.7,6.1,26.48,6.36,4.160905091,21.72,11.32,1.918727915,13.1,13:06
RLK214,neomexicanus,F,asex,TX,Do_a Ana,Las Cruces,BLM near water treatment,32.25612,-106.84009,9,C,4.45,0.648360011,D,12,0.5964,0.5964,9.3,6.7,15.24,4.01,3.799551234,22.81,10.4,2.193269231,13.87,13:52
RLK172,septemvittatus,F,sex,TX,Brewster,Big Bend National Park,Chisos Mountains- Pinnacles Trail,29.259492,-103.297782,1,B,15.85,1.200029267,D,14,0.7048,0.94,14.4,8.5,35.46,10.13,3.500493583,30.08,15.54,1.935649936,8.68,8:41
RLK174,septemvittatus,F,sex,TX,Brewster,Big Bend National Park,K-Bar Ranch,29.2959,-103.1771,10,A,4.067,0.609274172,A,15,0.4405,0.4405,8.8,7,25.87,7.41,3.490286023,27.21,13.88,1.96037464,14.18,14:11
RLK177,septemvittatus,F,sex,TX,Brewster,Big Bend National Park,K-Bar Ranch,29.3024,-103.1735,9,A,8.467,0.92772956,B,12,0.6884,0.6884,11,7.7,30.11,8.53,3.529480717,21.9,9.53,2.297765187,9.33,9:20
RLK162,tesselatus,F,asex,TX,Brewster,Barton Warnock State Park,Closed Canyon,29.324813,-104.035785,6,A,3.733,0.57205799,B,14,0.8116,0.94,15.6,8.1,24.75,6.14,4.03357236,20.78,10.21,2.035259549,13.65,13:39
RLK181,tesselatus,F,asex,TX,Brewster,Big Bend National Park,Santa Elena Canyon,29.1622,-103.6143,2,A,2.95,0.469822016,B,12,0.637,0.637,11,7.7,20.38,5.18,3.934362934,21.02,12.88,1.631987578,14.2,14:12
RLK182,tesselatus,F,asex,TX,Brewster,Big Bend National Park,Santa Elena Canyon,29.3055,-103.1781,2,A,3.983,0.600210306,C,13,0.4102,0.4102,7.3,6.6,15.34,6.41,2.39276244,15.83,10.02,1.579840319,9.13,9:08
RLK183,tesselatus,F,asex,TX,Brewster,Big Bend National Park,Santa Elena Canyon,29.3055,-103.1743,5,B,3.133,0.495960395,D,16,0.7767,0.8856,13.1,7.2,27.56,5.06,5.445564118,18.9,8.42,2.245455626,9.82,9:49
RLK185,tesselatus,F,asex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.1775,-102.9989,4,B,5.267,0.721563318,E,14,0.6444,0.9518,13.3,7.8,18.42,5.86,3.141736312,16.75,8.98,1.865048436,9.58,9:35
RLK189,tesselatus,F,asex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.1779,-102.9981,10,B,4.017,0.603901832,E,13,0.6923,0.6923,10,6.5,18.74,5.62,3.335113009,16.95,8.62,1.967270195,9.07,9:04
RLK194,tesselatus,F,asex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.177572,-102.997929,7,A,4.817,0.682776646,C,15,0.8688,1.0624,17.6,8.6,16.55,6.37,2.598524101,19.05,9.72,1.960885229,9.7,9:42
