FIELD,Species,Sex,SexualMode,STATE,COUNTY,CITY,LOCAL,LAT,LONG,Order,DateRan,Endurance,Log.Endurance,MitoDate,DisLength,MitoMuscleMass,TotalMuscleMass,TotalMass,SVL,CI_State3,CI_State4,CI_RCR,CII_State3,CII_State4,CII_RCR,EuthanasiaHour,EuthanasiaTime
RLK178,inornata,M,sex,TX,Brewster,Big Bend National Park,K-Bar Ranch,29.3024,-103.1735,6,A,3.467,1.243289667,D,15,0.1907,0.1907,3.7,4.9,24.17,6.43,3.758357954,22.8,13.52,1.686390533,9.27,9:16
RLK198,inornata,M,sex,TX,Hudspeth,Indio Mountains Research Station,Ranch House,30.776757,-105.016495,4,A,12.367,2.515031635,C,12,0.1958,0.1958,4.1,5.3,28.38,9.12,3.11081881,28.19,15.72,1.793256997,13.78,13:47
RLK200,inornata,F,sex,TX,Hudspeth,Indio Mountains Research Station,Bailey Evans,30.777342,-105.016564,7,B,4.03,1.393766376,D,12,0.2145,0.2145,3.6,5.1,21.14,3.83,5.516701461,18.84,8.19,2.299804688,10.43,10:26
RLK204,inornata,M,sex,TX,Hudspeth,Indio Mountains Research Station,Ranch House,30.776901,-105.016291,11,A,9.167,2.215610079,A,15,0.272,0.272,5.2,5.8,30.09,8.8,3.418541241,21.76,13.41,1.62266965,14.82,14:49
RLK210,inornata,M,sex,TX,Do_a Ana,Las Cruces,Mesilla Valley State Park,32.249198,-106.821715,7,A,4.617,1.529745144,B,13,0.3075,0.3075,5.8,5.5,23.23,7.04,3.301591814,21.59,11.17,1.932855864,9.83,9:50
RLK211,inornata,M,sex,TX,Do_a Ana,Las Cruces,Mesilla Valley State Park,32.249134,-106.82207,2,B,12.05,2.48906466,D,11,0.3247,0.3247,6.6,5.6,33.35,10.36,3.219111969,33.71,17.71,1.903444382,14.43,14:26
RLK186,marmorata,M,sex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.1775,-102.9989,11,A,5.683,1.737479262,B,13,0.77,1.0412,16.9,8.2,29.83,12.81,2.328649493,28.61,18.23,1.569391114,8.25,8:15
RLK187,marmorata,M,sex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.1781,-102.9977,3,B,5.383,1.68324584,D,17,0.7587,1.0999,16.5,6.9,30.11,8.57,3.513008984,27.8,15.01,1.852098601,15.67,15:40
RLK191,marmorata,F,sex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.1781,-102.9974,5,A,6.55,1.87946505,C,12,0.6622,0.6622,12.1,7.8,22.85,4.8,4.75942512,19.74,6.36,3.105726872,8.57,8:34
RLK193,marmorata,M,sex,TX,Brewster,Big Bend National Park,Hot Springs Trail,29.1781,-102.9974,10,A,5.5,1.704748092,C,14,0.5531,0.5531,9.5,7.4,25.01,7.29,3.429315782,23.52,10.91,2.155820348,14.28,14:17
