HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 12/07/19
Start Time: 11:08
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,4,
Gain,1.00,1.00,1.00,
Back Off,0,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,4,
Calibration Offset,34.830002,112.589996,48.599998,
Calibration Factor, 0.168215,0.147407,0.153530,


TEMPERATURE DATA
Channel No,1,2,4,
Set Temperature, 40.00,40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , , , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Oxygen 4,Rate 4,Label,Trace,Type,Comment
0.0,204.381072,INVALID,196.889781,INVALID,172.486636,INVALID,Start,All,Restart,Started at:11:08:41,
1.0,204.381072,INVALID,196.412183,INVALID,168.009694,INVALID,,,,,
2.0,205.062342,INVALID,196.292783,INVALID,163.905831,INVALID,,,,,
3.0,205.062342,INVALID,196.292783,INVALID,160.050686,INVALID,,,,,
4.0,204.517326,INVALID,196.412183,INVALID,156.444260,INVALID,,,,,
5.0,204.381072,INVALID,196.770382,INVALID,153.210913,INVALID,,,,,
6.0,205.198596,INVALID,197.128580,INVALID,150.226285,INVALID,,,,,
7.0,205.062342,INVALID,197.247980,INVALID,147.366016,INVALID,,,,,
8.0,204.517326,INVALID,197.367379,INVALID,144.630107,INVALID,,,,,
9.0,204.926088,INVALID,196.889781,INVALID,142.267276,INVALID,,,,,
10.0,205.471104,INVALID,196.650982,INVALID,139.904446,INVALID,,,,,
11.0,205.062342,INVALID,196.531583,INVALID,137.665975,INVALID,,,,,
12.0,204.789834,INVALID,196.412183,INVALID,135.551863,INVALID,,,,,
13.0,204.926088,INVALID,196.531583,INVALID,133.562111,INVALID,,,,,
14.0,205.607358,INVALID,196.889781,INVALID,131.696718,INVALID,,,,,
15.0,205.334850,INVALID,197.367379,INVALID,129.955685,INVALID,,,,,
16.0,205.062342,INVALID,197.486779,INVALID,128.339011,INVALID,,,,,
17.0,205.334850,INVALID,197.486779,INVALID,126.722338,INVALID,,,,,
18.0,205.743612,INVALID,197.128580,INVALID,125.230024,INVALID,,,,,
19.0,205.198596,INVALID,196.770382,INVALID,123.862069,INVALID,,,,,
20.0,205.062342,INVALID,196.650982,INVALID,122.494115,INVALID,,,,,
21.0,205.743612,INVALID,196.531583,INVALID,121.126160,INVALID,,,,,
22.0,205.879866,INVALID,197.009181,INVALID,120.006925,INVALID,,,,,
