HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 13:21
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,124.739998,
Calibration Factor, 0.155414,0.130733,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,66.971025,INVALID,179.171542,INVALID,Start,All,Restart,Started at:13:21:06,
1.0,66.971025,INVALID,179.171542,INVALID,,,,,
2.0,66.971025,INVALID,179.065648,INVALID,,,,,
3.0,66.971025,INVALID,178.959755,INVALID,,,,,
4.0,66.971025,INVALID,178.959755,INVALID,,,,,
5.0,67.096911,INVALID,178.747968,INVALID,,,,,
6.0,66.971025,INVALID,178.642075,INVALID,,,,,
7.0,67.096911,INVALID,178.536182,INVALID,,,,,
8.0,66.971025,INVALID,178.324395,INVALID,,,,,
9.0,66.971025,INVALID,178.218502,INVALID,,,,,
10.0,66.971025,INVALID,178.112608,INVALID,,,,,
11.0,66.971025,INVALID,177.900822,INVALID,,,,,
12.0,66.971025,INVALID,177.689035,INVALID,,,,,
13.0,66.971025,INVALID,177.477248,INVALID,,,,,
14.0,66.971025,INVALID,177.159568,INVALID,,,,,
15.0,66.971025,INVALID,176.841888,INVALID,,,,,
16.0,66.971025,INVALID,176.418315,INVALID,,,,,
17.0,66.971025,INVALID,176.524208,INVALID,,,,,
18.0,66.971025,INVALID,175.888848,INVALID,,,,,
19.0,66.845140,INVALID,175.888848,INVALID,,,,,
20.0,66.845140,INVALID,175.782955,INVALID,,,,,
21.0,66.845140,INVALID,175.782955,INVALID,,,,,
22.0,66.971025,INVALID,175.888848,INVALID,,,,,
23.0,66.971025,INVALID,175.465275,INVALID,,,,,
24.0,66.971025,INVALID,175.994741,INVALID,,,,,
25.0,66.971025,INVALID,175.994741,INVALID,,,,,
26.0,66.845140,INVALID,175.782955,INVALID,,,,,
27.0,66.971025,INVALID,175.359381,INVALID,,,,,
28.0,66.845140,INVALID,175.359381,INVALID,,,,,
29.0,66.845140,INVALID,175.465275,INVALID,,,,,
30.0,66.845140,-0.261923,175.147595,-9.046195,,,,,
31.0,66.845140,-0.292379,174.724021,-9.097434,,,,,
32.0,66.719254,-0.365474,174.512234,-9.117929,,,,,
33.0,66.845140,-0.386793,174.406341,-9.105120,,,,,
34.0,66.845140,-0.405067,174.300448,-9.059005,,,,,
35.0,66.845140,-0.420295,174.406341,-8.861736,,,,,
36.0,66.845140,-0.383747,174.618128,-8.559427,,,,,
37.0,66.845140,-0.389839,174.724021,-8.159765,,,,,
38.0,66.845140,-0.344154,174.618128,-7.744732,,,,,
39.0,66.845140,-0.341109,174.618128,-7.316889,,,,,
40.0,66.845140,-0.335018,174.512234,-6.878798,,,,,
41.0,66.845140,-0.325881,174.088661,-6.545746,,,,,
42.0,66.845140,-0.313698,173.665088,-6.351039,,,,,
43.0,66.845140,-0.298470,173.453301,-6.212694,,,,,
44.0,66.845140,-0.280197,173.347408,-6.092283,,,,,
45.0,66.845140,-0.258877,173.770981,-5.841214,,,,,
46.0,66.845140,-0.234512,173.982768,-5.554277,,,,,
47.0,66.971025,-0.161418,173.876874,-5.400561,,,,,
48.0,66.845140,-0.134007,173.876874,-5.144367,,,,,
49.0,66.845140,-0.103551,173.770981,-5.108500,,,,,
50.0,66.719254,-0.164463,173.347408,-5.175110,,,,,
51.0,66.719254,-0.222330,172.923834,-5.374941,,,,,
52.0,66.719254,-0.277151,172.817941,-5.544029,,,,,
53.0,66.719254,-0.280197,172.712048,-5.638821,,,,,
54.0,66.845140,-0.231467,172.712048,-5.820718,,,,,
55.0,66.845140,-0.179691,172.923834,-5.654192,,,,,
56.0,66.845140,-0.124870,173.135621,-5.336512,,,,,
57.0,66.845140,-0.115733,173.135621,-5.031642,,,,,
58.0,66.845140,-0.057867,173.135621,-4.826687,,,,,
59.0,66.719254,-0.091368,173.135621,-4.567932,,,,,
60.0,66.719254,-0.121825,173.029728,-4.252813,,,,,
61.0,66.845140,-0.103551,172.606154,-4.155460,,,,,
62.0,66.845140,-0.085277,172.288474,-4.275871,,,,,
63.0,66.719254,-0.161418,172.076687,-4.496197,,,,,
64.0,66.719254,-0.188828,172.076687,-4.698590,,,,,
65.0,66.719254,-0.213193,172.182581,-4.847183,,,,,
66.0,66.719254,-0.234512,172.500261,-4.788258,,,,,
67.0,66.845140,-0.207102,172.606154,-4.562808,,,,,
68.0,66.719254,-0.225375,172.500261,-4.286119,,,,,
69.0,66.719254,-0.240604,172.500261,-3.996620,,,,,
70.0,66.845140,-0.207102,172.500261,-3.655882,,,,,
71.0,66.719254,-0.219284,172.076687,-3.458613,,,,,
72.0,66.719254,-0.228421,171.864901,-3.443242,,,,,
73.0,66.719254,-0.234512,171.653114,-3.614891,,,,,
74.0,66.719254,-0.237558,171.547221,-3.858275,,,,,
75.0,66.719254,-0.237558,171.653114,-4.058106,,,,,
76.0,66.719254,-0.234512,171.864901,-3.976124,,,,,
77.0,66.719254,-0.228421,171.864901,-3.766046,,,,,
78.0,66.719254,-0.170554,171.970794,-3.507290,,,,,
79.0,66.593369,-0.201011,172.076687,-3.163991,,,,,
80.0,66.719254,-0.179691,171.970794,-2.856558,,,,,
81.0,66.719254,-0.204056,171.759007,-2.746395,,,,,
82.0,66.593369,-0.274105,171.441327,-2.877054,,,,,
83.0,66.593369,-0.341109,171.123647,-3.128124,,,,,
84.0,66.719254,-0.359382,171.017754,-3.417622,,,,,
85.0,66.719254,-0.328926,171.123647,-3.627701,,,,,
86.0,66.719254,-0.295425,171.229541,-3.678940,,,,,
87.0,66.593369,-0.304561,171.123647,-3.645635,,,,,
88.0,66.719254,-0.261923,171.547221,-3.409937,,,,,
89.0,66.845140,-0.170554,171.653114,-3.097380,,,,,
90.0,66.719254,-0.173600,171.441327,-2.825815,,,,,
91.0,66.845140,-0.130961,171.547221,-2.515821,,,,,
92.0,66.719254,-0.088323,171.229541,-2.449211,,,,,
93.0,66.719254,-0.042639,171.017754,-2.549126,,,,,
94.0,66.719254,-0.042639,170.700074,-2.815567,,,,,
95.0,66.593369,-0.088323,170.594181,-3.087133,,,,,
96.0,66.593369,-0.130961,170.700074,-3.243411,,,,,
97.0,66.719254,-0.124870,170.700074,-3.240849,,,,,
98.0,66.593369,-0.115733,171.017754,-3.038456,,,,,
99.0,66.593369,-0.149235,171.229541,-2.761767,,,,,
100.0,66.593369,-0.179691,171.335434,-2.415905,,,,,
101.0,66.593369,-0.158372,171.229541,-2.080292,,,,,
102.0,66.593369,-0.179691,171.229541,-1.877899,,,,,
103.0,66.593369,-0.197965,170.911861,-1.852280,,,,,
104.0,66.593369,-0.213193,170.488287,-2.039301,,,,,
105.0,66.593369,-0.225375,170.064714,-2.392848,,,,,
106.0,66.593369,-0.234512,170.064714,-2.669537,,,,,
107.0,66.467484,-0.286288,170.170607,-2.787386,,,,,
108.0,66.593369,-0.286288,170.170607,-2.864244,,,,,
109.0,66.593369,-0.283242,170.382394,-2.782262,,,,,
110.0,66.593369,-0.325881,170.700074,-2.505573,,,,,
111.0,66.467484,-0.365474,171.229541,-2.044425,,,,,
112.0,66.593369,-0.353291,171.441327,-1.570467,,,,,
113.0,66.593369,-0.386793,171.441327,-1.211796,,,,,
