HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 10/07/19
Start Time: 12:04
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,4,
Gain,1.00,1.00,1.00,
Back Off,0,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,4,
Calibration Offset,47.790001,110.160004,57.509998,
Calibration Factor, 0.143321,0.135710,0.130980,


TEMPERATURE DATA
Channel No,1,2,4,
Set Temperature, 40.00,40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , , , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Oxygen 4,Rate 4,Label,Trace,Type,Comment
0.0,188.646861,INVALID,183.135374,INVALID,191.393351,INVALID,Start,All,Restart,Started at:12:04:00,
1.0,188.879042,INVALID,183.245299,INVALID,192.242102,INVALID,,,,,
2.0,188.530771,INVALID,183.355224,INVALID,192.242102,INVALID,,,,,
3.0,188.530771,INVALID,183.465150,INVALID,191.711632,INVALID,,,,,
4.0,188.762951,INVALID,183.575075,INVALID,192.136008,INVALID,,,,,
5.0,189.459494,INVALID,183.794925,INVALID,192.984759,INVALID,,,,,
6.0,189.691674,INVALID,183.794925,INVALID,192.666477,INVALID,,,,,
7.0,189.227313,INVALID,183.794925,INVALID,192.348196,INVALID,,,,,
8.0,189.227313,INVALID,183.904850,INVALID,192.560383,INVALID,,,,,
9.0,189.691674,INVALID,183.904850,INVALID,193.409134,INVALID,,,,,
10.0,189.923855,INVALID,184.014776,INVALID,193.303040,INVALID,,,,,
11.0,189.343403,INVALID,184.014776,INVALID,192.666477,INVALID,,,,,
12.0,189.459494,INVALID,184.234626,INVALID,193.196947,INVALID,,,,,
13.0,189.691674,INVALID,184.344551,INVALID,193.939604,INVALID,,,,,
14.0,190.272126,INVALID,184.454476,INVALID,193.621322,INVALID,,,,,
15.0,190.272126,INVALID,184.784252,INVALID,193.409134,INVALID,,,,,
16.0,189.807765,INVALID,184.564402,INVALID,193.515228,INVALID,,,,,
17.0,189.923855,INVALID,184.674327,INVALID,194.151791,INVALID,,,,,
18.0,190.620397,INVALID,184.894177,INVALID,193.939604,INVALID,,,,,
19.0,190.736488,INVALID,185.223953,INVALID,193.409134,INVALID,,,,,
20.0,190.272126,INVALID,185.663654,INVALID,193.833510,INVALID,,,,,
21.0,190.272126,INVALID,185.333878,INVALID,194.470073,INVALID,,,,,
22.0,190.736488,INVALID,185.993429,INVALID,194.151791,INVALID,,,,,
23.0,191.200849,INVALID,186.103354,INVALID,193.939604,INVALID,,,,,
24.0,190.852578,INVALID,186.213280,INVALID,194.363979,INVALID,,,,,
25.0,190.504307,INVALID,186.213280,INVALID,194.788355,INVALID,,,,,
26.0,190.968669,INVALID,185.883504,INVALID,194.257885,INVALID,,,,,
27.0,191.316940,INVALID,186.103354,INVALID,194.363979,INVALID,,,,,
28.0,191.433030,INVALID,185.553728,INVALID,194.576167,INVALID,,,,,
29.0,190.968669,INVALID,185.663654,INVALID,195.106636,INVALID,,,,,
30.0,191.084759,5.389777,185.883504,6.390732,194.576167,5.929279,,,,,
31.0,191.665211,5.462801,186.103354,6.292331,194.363979,5.456990,,,,,
32.0,191.781301,5.594807,186.213280,6.204568,195.106636,5.510892,,,,,
33.0,191.781301,5.521783,186.103354,6.047659,194.470073,5.264481,,,,,
34.0,191.549120,5.285857,186.433130,5.986491,194.470073,4.758824,,,,,
35.0,191.781301,5.151042,186.543055,5.935961,195.106636,4.581715,,,,,
36.0,192.361753,5.423480,186.762905,5.978512,195.424918,4.776791,,,,,
37.0,191.665211,5.462801,186.652980,5.909366,194.682261,4.520112,,,,,
38.0,191.084759,5.063975,186.323205,5.651396,194.576167,4.052957,,,,,
39.0,191.084759,4.620210,186.103354,5.295026,195.106636,3.806546,,,,,
40.0,191.665211,4.521907,185.993429,4.845574,195.531012,3.981087,,,,,
41.0,191.897392,4.549994,186.103354,4.428035,194.894449,3.832213,,,,,
42.0,191.665211,4.221383,186.213280,3.999859,194.682261,3.321423,,,,,
43.0,191.665211,3.881538,186.762905,3.803057,195.424918,3.236719,,,,,
44.0,192.245663,3.788853,187.092681,3.707316,195.531012,3.424094,,,,,
45.0,192.826115,4.069717,187.422457,3.707316,194.894449,3.218751,,,,,
46.0,192.361753,4.120272,187.422457,3.763165,194.788355,2.861968,,,,,
47.0,192.477843,3.982649,187.202606,3.590299,195.318824,2.705394,,,,,
48.0,193.058295,4.036013,186.872831,3.276480,195.531012,2.828600,,,,,
49.0,193.522657,4.451691,186.543055,2.874898,195.000542,2.643791,,,,,
50.0,193.174386,4.715703,186.652980,2.600972,194.682261,2.112466,,,,,
51.0,193.058295,4.698852,186.762905,2.502571,195.424918,1.984127,,,,,
52.0,193.406567,4.740981,186.762905,2.249921,195.637106,2.140701,,,,,
53.0,193.987018,5.097678,187.312531,2.417468,194.894449,1.876322,,,,,
54.0,193.638747,5.429098,187.202606,2.555761,195.000542,1.550340,,,,,
55.0,193.754838,5.608850,186.323205,2.390873,195.318824,1.478469,,,,,
56.0,194.335290,5.794220,185.883504,2.063757,195.955387,1.778784,,,,,
57.0,194.567470,6.150918,185.773579,1.577072,195.531012,1.691513,,,,,
