HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 15:46
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,80.190002,
Calibration Factor, 0.155414,0.142485,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,209.599168,INVALID,212.012782,INVALID,Start,All,Restart,Started at:15:46:03,
1.0,209.976824,INVALID,211.666544,INVALID,,,,,
2.0,210.606251,INVALID,211.435719,INVALID,,,,,
3.0,210.480365,INVALID,211.666544,INVALID,,,,,
4.0,210.228594,INVALID,211.551132,INVALID,,,,,
5.0,210.354480,INVALID,211.204894,INVALID,,,,,
6.0,210.858021,INVALID,211.204894,INVALID,,,,,
7.0,211.109792,INVALID,211.320307,INVALID,,,,,
8.0,210.606251,INVALID,211.204894,INVALID,,,,,
9.0,210.732136,INVALID,211.204894,INVALID,,,,,
10.0,211.235678,INVALID,211.320307,INVALID,,,,,
11.0,211.487448,INVALID,211.089482,INVALID,,,,,
12.0,210.858021,INVALID,211.089482,INVALID,,,,,
13.0,211.109792,INVALID,211.089482,INVALID,,,,,
14.0,211.613334,INVALID,210.743244,INVALID,,,,,
15.0,211.865104,INVALID,210.743244,INVALID,,,,,
16.0,211.361563,INVALID,210.512419,INVALID,,,,,
17.0,211.361563,INVALID,210.166182,INVALID,,,,,
18.0,211.739219,INVALID,209.935357,INVALID,,,,,
19.0,211.990990,INVALID,209.819944,INVALID,,,,,
20.0,211.613334,INVALID,209.358294,INVALID,,,,,
21.0,211.487448,INVALID,209.127469,INVALID,,,,,
22.0,212.116875,INVALID,209.358294,INVALID,,,,,
23.0,212.242761,INVALID,209.473706,INVALID,,,,,
24.0,211.739219,INVALID,209.704532,INVALID,,,,,
25.0,211.613334,INVALID,209.589119,INVALID,,,,,
26.0,212.116875,INVALID,209.589119,INVALID,,,,,
27.0,212.368646,INVALID,209.589119,INVALID,,,,,
28.0,211.865104,INVALID,209.242881,INVALID,,,,,
29.0,211.739219,INVALID,208.896644,INVALID,,,,,
