HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 11/07/19
Start Time: 11:35
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,4,
Gain,1.00,1.00,1.00,
Back Off,0,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,4,
Calibration Offset,43.740002,88.290001,63.990002,
Calibration Factor, 0.174378,0.169399,0.162183,


TEMPERATURE DATA
Channel No,1,2,4,
Set Temperature, 40.00,40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , , , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Oxygen 4,Rate 4,Label,Trace,Type,Comment
0.0,201.416567,INVALID,234.085247,INVALID,74.617314,INVALID,Start,All,Restart,Started at:11:35:55,
1.0,201.416567,INVALID,233.673609,INVALID,74.485945,INVALID,,,,,
2.0,201.134076,INVALID,234.908525,INVALID,74.617314,INVALID,,,,,
3.0,200.851584,INVALID,234.908525,INVALID,74.617314,INVALID,,,,,
4.0,201.275321,INVALID,234.634099,INVALID,74.485945,INVALID,,,,,
5.0,201.699059,INVALID,234.222460,INVALID,74.485945,INVALID,,,,,
6.0,201.275321,INVALID,234.496886,INVALID,74.485945,INVALID,,,,,
7.0,201.134076,INVALID,234.085247,INVALID,74.617314,INVALID,,,,,
8.0,200.992830,INVALID,233.673609,INVALID,74.617314,INVALID,,,,,
9.0,201.275321,INVALID,233.673609,INVALID,74.485945,INVALID,,,,,
10.0,201.699059,INVALID,233.948034,INVALID,74.617314,INVALID,,,,,
11.0,201.699059,INVALID,234.359673,INVALID,74.617314,INVALID,,,,,
12.0,201.134076,INVALID,233.261970,INVALID,74.617314,INVALID,,,,,
13.0,201.275321,INVALID,233.810822,INVALID,74.617314,INVALID,,,,,
14.0,201.981551,INVALID,234.771312,INVALID,74.617314,INVALID,,,,,
15.0,201.840305,INVALID,234.496886,INVALID,74.617314,INVALID,,,,,
16.0,201.416567,INVALID,234.496886,INVALID,74.485945,INVALID,,,,,
