HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 10:50
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,124.739998,
Calibration Factor, 0.155414,0.130733,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,207.207345,INVALID,194.208397,INVALID,Start,All,Restart,Started at:10:50:09,
1.0,207.333231,INVALID,194.949650,INVALID,,,,,
2.0,207.836772,INVALID,195.161437,INVALID,,,,,
3.0,208.340314,INVALID,195.585010,INVALID,,,,,
4.0,208.717970,INVALID,196.220370,INVALID,,,,,
5.0,208.340314,INVALID,196.432157,INVALID,,,,,
6.0,208.592084,INVALID,196.961624,INVALID,,,,,
7.0,209.221511,INVALID,197.173410,INVALID,,,,,
8.0,209.599168,INVALID,197.279304,INVALID,,,,,
9.0,209.221511,INVALID,197.491091,INVALID,,,,,
10.0,209.221511,INVALID,197.914664,INVALID,,,,,
11.0,209.850938,INVALID,197.914664,INVALID,,,,,
12.0,210.228594,INVALID,197.808771,INVALID,,,,,
13.0,209.976824,INVALID,198.232344,INVALID,,,,,
14.0,209.850938,INVALID,198.338237,INVALID,,,,,
15.0,210.102709,INVALID,198.444131,INVALID,,,,,
16.0,210.732136,INVALID,198.444131,INVALID,,,,,
17.0,210.606251,INVALID,198.550024,INVALID,,,,,
18.0,210.354480,INVALID,198.655917,INVALID,,,,,
19.0,210.606251,INVALID,198.761811,INVALID,,,,,
20.0,211.109792,INVALID,198.867704,INVALID,,,,,
21.0,211.235678,INVALID,199.079491,INVALID,,,,,
22.0,210.858021,INVALID,199.185384,INVALID,,,,,
23.0,210.732136,INVALID,199.291277,INVALID,,,,,
24.0,211.361563,INVALID,199.714851,INVALID,,,,,
25.0,211.613334,INVALID,200.032531,INVALID,,,,,
26.0,211.235678,INVALID,200.350211,INVALID,,,,,
27.0,211.109792,INVALID,200.456104,INVALID,,,,,
28.0,211.613334,INVALID,200.879678,INVALID,,,,,
29.0,211.990990,INVALID,200.773784,INVALID,,,,,
30.0,211.613334,8.393713,200.667891,11.339128,,,,,
31.0,211.361563,7.796772,200.456104,10.621786,,,,,
32.0,211.613334,7.239425,200.456104,10.040226,,,,,
33.0,212.116875,6.956183,200.561998,9.445857,,,,,
34.0,212.116875,6.764309,200.561998,8.884793,,,,,
35.0,211.487448,6.398835,200.667891,8.487693,,,,,
36.0,211.739219,5.911537,200.985571,8.180261,,,,,
37.0,212.242761,5.622204,201.197358,8.044478,,,,,
38.0,211.739219,5.305460,201.515038,8.003487,,,,,
39.0,211.613334,5.028309,201.515038,7.898448,,,,,
40.0,210.732136,4.236449,201.832718,7.888200,,,,,
41.0,211.235678,3.590779,201.726824,7.898448,,,,,
42.0,211.487448,3.231397,201.832718,7.854895,,,,,
43.0,210.983907,2.795874,201.515038,7.560273,,,,,
44.0,211.109792,2.290302,201.303251,7.263088,,,,,
45.0,211.361563,1.799958,201.515038,7.009456,,,,,
46.0,212.116875,1.644632,201.197358,6.604670,,,,,
47.0,211.865104,1.592856,201.409144,6.210132,,,,,
48.0,211.739219,1.419256,201.726824,5.900138,,,,,
49.0,212.368646,1.349207,202.044504,5.669564,,,,,
50.0,212.746302,1.464940,202.150398,5.436428,,,,,
51.0,212.872188,1.769502,202.150398,5.162301,,,,,
52.0,212.620417,1.988786,202.256291,4.929164,,,,,
53.0,212.368646,1.937011,202.362184,4.698590,,,,,
54.0,212.872188,1.982695,202.362184,4.432149,,,,,
55.0,213.249844,2.357305,202.150398,4.178517,,,,,
56.0,213.123958,2.738007,201.938611,3.912076,,,,,
57.0,212.872188,2.844604,201.938611,3.722493,,,,,
58.0,213.123958,2.954246,201.515038,3.381755,,,,,
59.0,213.501614,3.347130,201.409144,3.140933,,,,,
60.0,213.375729,3.794835,201.726824,2.961598,,,,,
61.0,213.123958,3.971481,201.832718,2.756643,,,,,
62.0,212.998073,3.968435,202.256291,2.595241,,,,,
63.0,213.627500,4.251677,202.573971,2.505573,,,,,
64.0,213.879271,4.772477,202.573971,2.405658,,,,,
65.0,213.375729,5.067902,202.362184,2.180207,,,,,
66.0,213.249844,5.043537,202.256291,1.913766,,,,,
67.0,214.131041,5.393783,202.256291,1.731869,,,,,
68.0,213.375729,5.606976,202.785758,1.793355,,,,,
69.0,213.123958,5.506470,202.997545,2.016243,,,,,
70.0,213.627500,5.506470,203.315225,2.318552,,,,,
71.0,213.375729,5.025263,203.315225,2.700280,,,,,
72.0,212.872188,4.492281,203.421118,3.043580,,,,,
73.0,212.620417,3.925797,203.103438,3.271592,,,,,
74.0,212.998073,3.274035,202.997545,3.307459,,,,,
75.0,213.123958,2.667958,202.997545,3.225477,,,,,
76.0,212.494531,1.882190,203.103438,3.222915,,,,,
77.0,211.739219,1.087284,203.421118,3.174238,,,,,
78.0,211.990990,0.295425,203.738798,3.269030,,,,,
79.0,212.116875,-0.502526,203.950585,3.507290,,,,,
80.0,211.613334,-1.248702,204.162371,3.891580,,,,,
81.0,210.983907,-2.058835,203.950585,4.188765,,,,,
82.0,210.858021,-2.823284,203.632905,4.327110,,,,,
83.0,211.361563,-3.453726,203.315225,4.355291,,,,,
84.0,210.983907,-4.288225,203.421118,4.437273,,,,,
85.0,210.732136,-4.985670,203.421118,4.493635,,,,,
86.0,211.235678,-5.302414,203.738798,4.557684,,,,,
87.0,211.739219,-5.436421,203.738798,4.501321,,,,,
88.0,211.487448,-5.725755,204.162371,4.555122,,,,,
89.0,211.361563,-5.929811,204.162371,4.391158,,,,,
90.0,211.487448,-5.899355,203.950585,4.045297,,,,,
91.0,211.865104,-5.731846,204.056478,3.799351,,,,,
92.0,211.865104,-5.625249,203.738798,3.422746,,,,,
93.0,211.361563,-5.719663,203.315225,3.010275,,,,,
94.0,211.361563,-5.530835,203.103438,2.618298,,,,,
95.0,211.865104,-5.006990,203.209331,2.251942,,,,,
96.0,211.990990,-4.583649,203.421118,1.865089,,,,,
97.0,211.487448,-4.358274,203.738798,1.526914,,,,,
98.0,211.235678,-3.840519,203.738798,1.152871,,,,,
99.0,211.865104,-3.316674,203.738798,0.947916,,,,,
100.0,212.116875,-2.762372,203.738798,0.801886,,,,,
101.0,211.990990,-2.034470,203.844691,0.799324,,,,,
102.0,211.613334,-1.501488,203.632905,0.707094,,,,,
103.0,211.865104,-1.029418,203.209331,0.494454,,,,,
104.0,212.242761,-0.493389,202.785758,0.010248,,,,,
105.0,212.242761,0.197965,202.891651,-0.468834,,,,,
106.0,211.739219,0.773586,202.997545,-0.906925,,,,,
107.0,211.990990,1.230428,202.785758,-1.380883,,,,,
108.0,212.494531,1.589811,202.256291,-1.916328,,,,,
109.0,212.494531,2.028379,202.044504,-2.377476,,,,,
110.0,212.116875,2.366442,202.150398,-2.677223,,,,,
111.0,211.990990,2.463902,202.044504,-2.889864,,,,,
112.0,211.990990,2.308576,202.044504,-3.133247,,,,,
113.0,212.872188,2.399944,202.468078,-3.299773,,,,,
114.0,212.494531,2.500449,202.679864,-3.484233,,,,,
115.0,212.242761,2.335986,202.785758,-3.573900,mito,1,Up Arrow,,
116.0,212.620417,2.180660,202.891651,-3.609768,,,,,
117.0,212.998073,2.311621,202.468078,-3.663568,,,,,
118.0,212.998073,2.594863,202.679864,-3.609768,,,,,
119.0,212.368646,2.521769,201.938611,-3.635387,,,,,
120.0,212.494531,2.424309,201.726824,-3.684064,,,,,
121.0,212.998073,2.530905,201.832718,-3.717369,,,,,
122.0,213.123958,2.792828,202.044504,-3.581586,,,,,
123.0,212.620417,2.841558,202.362184,-3.404813,,,,,
124.0,212.746302,2.722779,202.150398,-3.435556,,,,,
125.0,212.872188,2.616183,202.150398,-3.520100,,,,,
126.0,213.375729,2.850695,202.256291,-3.502166,,,,,
127.0,213.249844,3.051705,202.150398,-3.417622,,,,,
128.0,212.872188,2.890288,201.832718,-3.294649,,,,,
129.0,212.872188,2.597909,201.620931,-3.202420,,,,,
130.0,213.249844,2.646639,201.409144,-3.135809,,,,,
131.0,213.627500,2.896379,201.409144,-3.012836,,,,,
132.0,213.123958,2.878105,201.303251,-2.830939,,,,,
133.0,212.998073,2.640547,201.409144,-2.631108,,,,,
134.0,213.375729,2.604000,201.726824,-2.426153,,,,,
135.0,213.879271,2.859832,201.938611,-2.272437,,,,,
136.0,213.501614,2.939018,202.150398,-1.980376,,,,,
137.0,213.249844,2.701460,202.150398,-1.629391,,,,,
138.0,213.375729,2.570498,201.938611,-1.416750,,,,,
139.0,213.879271,2.783691,201.515038,-1.542285,,,,,
140.0,213.501614,2.826330,201.515038,-1.731869,,,,,
141.0,213.375729,2.652730,201.620931,-1.829222,,,,,
142.0,213.753385,2.536997,201.938611,-1.839470,,,,,
143.0,214.131041,2.515677,202.150398,-1.770298,,,,,
144.0,213.753385,2.646639,202.362184,-1.462865,,,,,
145.0,213.501614,2.518723,202.362184,-1.070889,,,,,
146.0,213.627500,2.314667,202.256291,-0.668665,,,,,
147.0,213.753385,2.268983,201.938611,-0.327928,,,,,
148.0,214.256927,2.524814,201.832718,-0.166526,,,,,
149.0,214.005156,2.658821,201.726824,0.053801,,,,,
150.0,214.131041,2.570498,201.832718,0.048677,,,,,
151.0,214.760468,2.716688,201.938611,0.002562,,,,,
152.0,214.760468,3.002976,202.362184,0.146030,,,,,
153.0,214.131041,3.066933,202.573971,0.435529,,,,,
154.0,214.256927,2.957291,202.679864,0.873620,,,,,
155.0,214.886354,3.085207,202.891651,1.298901,,,,,
156.0,214.886354,3.210077,202.679864,1.629391,,,,,
157.0,214.508698,3.344084,202.150398,1.795917,,,,,
158.0,214.508698,3.401951,201.832718,1.808727,,,,,
159.0,215.138124,3.511593,201.938611,1.744678,,,,,
160.0,215.264010,3.612098,201.832718,1.557657,,,,,
161.0,214.886354,3.663874,202.044504,1.360388,,,,,
162.0,214.634583,3.730877,202.150398,1.186176,,,,,
163.0,215.138124,3.761334,202.573971,1.106756,,,,,
164.0,215.389895,3.785698,202.785758,1.114442,,,,,
165.0,214.886354,3.715649,202.891651,1.250225,,,,,
166.0,214.760468,3.758288,202.891651,1.439808,,,,,
167.0,215.138124,3.770470,202.573971,1.573029,,,,,
168.0,215.515781,3.782653,202.150398,1.542285,,,,,
169.0,215.389895,3.743060,202.044504,1.391131,,,,,
170.0,214.886354,3.666919,202.044504,1.073451,,,,,
171.0,214.886354,3.420225,202.044504,0.742961,,,,,
172.0,215.389895,3.274035,202.256291,0.517511,,,,,
173.0,215.515781,3.270990,202.573971,0.514949,,,,,
174.0,215.012239,3.188758,202.679864,0.617427,,,,,
175.0,214.886354,2.893333,202.997545,0.904363,,,,,
176.0,215.389895,2.655776,202.997545,1.175929,,,,,
177.0,215.515781,2.466947,202.785758,1.314273,,,,,
178.0,215.012239,2.098428,202.573971,1.239977,,,,,
179.0,214.886354,1.848688,202.468078,1.070889,,,,,
180.0,215.138124,1.577628,202.468078,0.845439,,,,,
181.0,215.515781,1.464940,202.362184,0.604617,,,,,
182.0,215.389895,1.516716,202.468078,0.430405,,,,,
183.0,214.886354,1.370526,202.785758,0.522635,,,,,
184.0,215.012239,1.023326,203.103438,0.801886,,,,,
185.0,215.138124,0.749221,202.891651,1.032460,,,,,
186.0,215.515781,0.834498,203.315225,1.493609,,,,,
187.0,214.760468,0.630442,203.315225,1.862527,,,,,
188.0,214.886354,0.328926,202.997545,1.895832,,,,,
189.0,215.389895,0.201011,202.891651,1.747240,,,,,
190.0,215.767551,0.432477,202.679864,1.537161,,,,,
191.0,215.641666,0.651761,202.785758,1.306587,,,,,
192.0,214.886354,0.441614,202.573971,1.058079,,,,,
193.0,215.389895,0.316744,202.679864,0.876182,,,,,
194.0,215.767551,0.505572,202.997545,0.960726,,,,,
195.0,215.515781,0.685263,203.103438,1.155433,,,,,
196.0,215.264010,0.575621,203.315225,1.460303,,,,,
197.0,215.138124,0.362428,203.209331,1.716497,,,,,
198.0,215.515781,0.423340,203.421118,1.918890,,,,,
199.0,215.893437,0.758358,203.315225,1.898394,,,,,
200.0,215.767551,0.989825,203.209331,1.770298,,,,,
201.0,215.389895,0.880182,203.103438,1.575591,,,,,
202.0,215.264010,0.712674,202.891651,1.278406,,,,,
203.0,215.767551,0.913684,202.573971,0.927421,,,,,
204.0,215.893437,1.199972,202.468078,0.653294,,,,,
205.0,215.389895,1.099467,202.679864,0.499577,,,,,
206.0,215.138124,0.849726,202.997545,0.584121,,,,,
