HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 12/07/19
Start Time: 12:56
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,4,
Gain,1.00,1.00,1.00,
Back Off,0,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,4,
Calibration Offset,34.830002,112.589996,48.599998,
Calibration Factor, 0.168215,0.147407,0.153530,


TEMPERATURE DATA
Channel No,1,2,4,
Set Temperature, 40.00,40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , , , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Oxygen 4,Rate 4,Label,Trace,Type,Comment
0.0,219.232763,INVALID,54.446174,INVALID,63.672068,INVALID,Start,All,Restart,Started at:12:56:20,
1.0,219.369017,INVALID,54.326774,INVALID,63.672068,INVALID,,,,,
2.0,218.960255,INVALID,54.326774,INVALID,63.796427,INVALID,,,,,
3.0,219.232763,INVALID,54.326774,INVALID,63.672068,INVALID,,,,,
4.0,219.914033,INVALID,54.207375,INVALID,63.796427,INVALID,,,,,
5.0,219.777779,INVALID,54.207375,INVALID,63.796427,INVALID,,,,,
6.0,219.505271,INVALID,54.087975,INVALID,63.672068,INVALID,,,,,
7.0,220.186541,INVALID,54.207375,INVALID,63.672068,INVALID,,,,,
8.0,220.595303,INVALID,54.087975,INVALID,63.672068,INVALID,,,,,
9.0,220.050287,INVALID,54.087975,INVALID,63.672068,INVALID,,,,,
10.0,220.050287,INVALID,54.087975,INVALID,63.672068,INVALID,,,,,
11.0,220.595303,INVALID,53.968576,INVALID,63.672068,INVALID,,,,,
12.0,221.004065,INVALID,53.968576,INVALID,63.672068,INVALID,,,,,
13.0,220.459049,INVALID,53.849176,INVALID,63.796427,INVALID,,,,,
14.0,220.459049,INVALID,53.849176,INVALID,63.672068,INVALID,,,,,
15.0,221.140319,INVALID,53.849176,INVALID,63.672068,INVALID,,,,,
16.0,221.004065,INVALID,53.729777,INVALID,63.672068,INVALID,,,,,
17.0,220.595303,INVALID,53.729777,INVALID,63.672068,INVALID,,,,,
18.0,221.004065,INVALID,53.729777,INVALID,63.672068,INVALID,,,,,
19.0,221.412828,INVALID,53.610377,INVALID,63.672068,INVALID,,,,,
20.0,221.004065,INVALID,53.610377,INVALID,63.672068,INVALID,,,,,
21.0,220.867811,INVALID,53.610377,INVALID,63.672068,INVALID,,,,,
22.0,221.412828,INVALID,53.610377,INVALID,63.672068,INVALID,,,,,
23.0,221.821590,INVALID,53.610377,INVALID,63.672068,INVALID,,,,,
24.0,221.140319,INVALID,53.490978,INVALID,63.672068,INVALID,,,,,
25.0,221.140319,INVALID,53.490978,INVALID,63.672068,INVALID,,,,,
26.0,221.821590,INVALID,53.490978,INVALID,63.672068,INVALID,,,,,
27.0,221.821590,INVALID,53.371578,INVALID,63.672068,INVALID,,,,,
28.0,221.276574,INVALID,53.371578,INVALID,63.672068,INVALID,,,,,
29.0,221.549082,INVALID,53.490978,INVALID,63.672068,INVALID,,,,,
30.0,222.094098,5.238089,53.371578,-2.128970,63.796427,-0.063183,,,,,
31.0,222.230352,5.254571,53.252179,-2.111638,63.672068,-0.078226,,,,,
32.0,221.412828,4.954593,53.252179,-2.111638,63.796427,-0.048139,,,,,
33.0,221.685336,4.545831,53.252179,-2.085640,63.672068,-0.018052,,,,,
34.0,222.230352,4.374414,53.252179,-2.033643,63.672068,-0.033096,,,,,
35.0,221.821590,4.245852,53.252179,-2.001867,63.672068,0.000000,,,,,
36.0,221.549082,3.919502,53.132779,-1.990313,63.796427,0.081235,,,,,
37.0,221.821590,3.543704,53.132779,-1.998979,63.672068,0.069200,,,,,
38.0,222.502860,3.622819,53.132779,-1.938316,63.796427,0.102296,,,,,
39.0,222.230352,3.705231,53.013380,-1.941205,63.672068,0.087252,,,,,
40.0,221.685336,3.339323,53.013380,-1.918095,63.672068,0.072209,,,,,
41.0,221.957844,3.032751,53.013380,-1.868987,63.672068,0.057165,,,,,
42.0,222.502860,3.088791,53.013380,-1.840100,63.672068,0.042122,,,,,
43.0,222.366606,3.207464,52.893980,-1.831434,63.796427,0.072209,,,,,
44.0,221.821590,2.884410,53.013380,-1.799659,63.796427,0.147426,,,,,
45.0,222.094098,2.627286,53.013380,-1.747662,63.672068,0.129374,,,,,
