HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 12/07/19
Start Time: 12:30
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,4,
Gain,1.00,1.00,1.00,
Back Off,0,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,4,
Calibration Offset,34.830002,112.589996,48.599998,
Calibration Factor, 0.168215,0.147407,0.153530,


TEMPERATURE DATA
Channel No,1,2,4,
Set Temperature, 40.00,40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , , , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Oxygen 4,Rate 4,Label,Trace,Type,Comment
0.0,217.597714,INVALID,202.620957,INVALID,63.547708,INVALID,Start,All,Restart,Started at:12:30:54,
1.0,218.006476,INVALID,203.217955,INVALID,63.423349,INVALID,,,,,
2.0,218.551493,INVALID,203.695553,INVALID,63.423349,INVALID,,,,,
3.0,218.278984,INVALID,202.859756,INVALID,63.423349,INVALID,,,,,
4.0,218.142730,INVALID,203.217955,INVALID,63.423349,INVALID,,,,,
5.0,218.824001,INVALID,203.576153,INVALID,63.547708,INVALID,,,,,
6.0,219.096509,INVALID,203.814952,INVALID,63.547708,INVALID,,,,,
7.0,218.824001,INVALID,203.337354,INVALID,63.547708,INVALID,,,,,
8.0,218.687747,INVALID,203.934352,INVALID,63.423349,INVALID,,,,,
9.0,219.232763,INVALID,203.456754,INVALID,63.547708,INVALID,,,,,
10.0,219.777779,INVALID,203.576153,INVALID,63.423349,INVALID,,,,,
11.0,219.096509,INVALID,203.217955,INVALID,63.547708,INVALID,,,,,
12.0,219.096509,INVALID,203.217955,INVALID,63.547708,INVALID,,,,,
13.0,219.777779,INVALID,203.098555,INVALID,63.423349,INVALID,,,,,
14.0,219.914033,INVALID,203.576153,INVALID,63.423349,INVALID,,,,,
15.0,219.369017,INVALID,203.695553,INVALID,63.547708,INVALID,,,,,
16.0,219.232763,INVALID,204.173151,INVALID,63.547708,INVALID,,,,,
17.0,219.914033,INVALID,204.650749,INVALID,63.547708,INVALID,,,,,
18.0,220.186541,INVALID,204.292550,INVALID,63.547708,INVALID,,,,,
19.0,219.505271,INVALID,204.292550,INVALID,63.547708,INVALID,,,,,
20.0,219.505271,INVALID,203.934352,INVALID,63.547708,INVALID,,,,,
21.0,220.186541,INVALID,203.814952,INVALID,63.672068,INVALID,,,,,
22.0,220.322795,INVALID,204.173151,INVALID,63.547708,INVALID,,,,,
23.0,219.641525,INVALID,204.173151,INVALID,63.547708,INVALID,,,,,
24.0,219.777779,INVALID,205.008947,INVALID,63.547708,INVALID,,,,,
25.0,220.459049,INVALID,204.889548,INVALID,63.547708,INVALID,,,,,
26.0,220.595303,INVALID,204.770148,INVALID,63.547708,INVALID,,,,,
27.0,219.914033,INVALID,204.889548,INVALID,63.547708,INVALID,,,,,
28.0,219.914033,INVALID,205.128347,INVALID,63.672068,INVALID,,,,,
29.0,220.595303,INVALID,204.770148,INVALID,63.547708,INVALID,,,,,
30.0,220.731557,4.763398,204.889548,3.948850,63.547708,0.252731,,,,,
31.0,219.914033,4.219480,204.411950,3.613761,63.547708,0.270783,,,,,
32.0,220.322795,3.926094,204.292550,3.423107,63.547708,0.240696,,,,,
33.0,220.731557,3.935984,205.128347,3.694644,63.547708,0.207600,,,,,
34.0,220.186541,3.589855,205.605945,3.781305,63.547708,0.171496,,,,,
35.0,220.050287,3.095384,205.486545,3.896853,63.547708,0.132383,,,,,
36.0,219.914033,2.769034,205.605945,4.139504,63.547708,0.138400,,,,,
37.0,220.731557,2.818481,205.008947,4.208832,63.547708,0.144417,,,,,
38.0,220.186541,2.525095,204.889548,4.021067,63.547708,0.150435,,,,,
39.0,219.914033,2.047107,205.008947,4.070175,63.547708,0.108313,,,,,
40.0,220.459049,1.948213,204.531349,3.735086,63.547708,0.111322,,,,,
41.0,220.867811,2.178966,205.008947,3.593540,63.547708,0.066191,,,,,
42.0,220.867811,2.119630,204.889548,3.235341,63.547708,0.066191,,,,,
43.0,220.050287,1.720757,205.486545,3.053353,63.423349,0.021061,,,,,
44.0,220.731557,1.809761,205.964143,2.943583,63.547708,-0.024070,,,,,
45.0,221.004065,2.027328,205.605945,2.819369,63.547708,-0.072209,,,,,
46.0,220.322795,1.760314,205.247746,2.562275,63.423349,-0.120348,,,,,
47.0,220.186541,1.368035,205.008947,2.365843,63.547708,-0.120348,,,,,
48.0,220.322795,1.265844,205.367146,2.464059,63.423349,-0.165478,,,,,
49.0,221.004065,1.506486,205.247746,2.362955,63.547708,-0.162470,,,,,
